id,name,category,subcategory,color,color_family,undertone_match,fit,tags,price,brand,url
34,Camel Leather Sneakers,shoes,sneaker,camel,brown,warm,slim,"muted,tailored,prep,everyday",140.00,Veja,https://example.com/34
35,Black Techwear Sneakers,shoes,sneaker,black,neutral,neutral,chunky,"bold,relaxed,techwear,going-out",180.00,Salomon,https://example.com/35
36,Cream Overshirt,outerwear,overshirt,cream,warm-white,warm,relaxed,"minimalist,muted,relaxed,workwear,everyday",95.00,Everlane,https://example.com/36
37,Olive Bomber Jacket,outerwear,bomber,olive,green,warm,relaxed,"muted,relaxed,workwear,streetwear,everyday",149.99,Alpha Industries,https://example.com/37
38,Navy Unstructured Blazer,outerwear,blazer,navy,blue,cool,slim,"minimalist,tailored,prep,office",199.99,J.Crew,https://example.com/38
39,Camel Topcoat,outerwear,coat,camel,brown,warm,slim,"muted,tailored,prep,office,vintage",299.99,COS,https://example.com/39
40,Black Denim Jacket,outerwear,denim-jacket,black,neutral,neutral,slim,"minimalist,tailored,everyday,vintage",89.99,Levi's,https://example.com/40
41,Gray Zip Hoodie,outerwear,hoodie,gray,neutral,neutral,relaxed,"minimalist,relaxed,athleisure,everyday",59.99,Nike,https://example.com/41
42,Rust Field Jacket,outerwear,jacket,rust,orange,warm,relaxed,"bold,relaxed,workwear,vintage",179.99,Filson,https://example.com/42
43,Charcoal Overcoat,outerwear,coat,charcoal,gray,neutral,slim,"minimalist,tailored,office,going-out",249.99,COS,https://example.com/43
44,Black Techwear Shell,outerwear,jacket,black,neutral,neutral,relaxed,"bold,relaxed,techwear",220.00,ACRONYM,https://example.com/44
